Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_326_length_3172_cov_1.493596	46.599014
NODE_327_length_3172_cov_1.216749	28.29627
NODE_328_length_3162_cov_3.127842	65.89551
NODE_329_length_3160_cov_1.017474	21.979073
NODE_330_length_3160_cov_0.924497	13.412869
NODE_331_length_3159_cov_3.127639	55.697945
NODE_332_length_3159_cov_1.163259	16.799582
NODE_333_length_3157_cov_2.617822	37.230698
NODE_334_length_3157_cov_1.496700	32.379425
NODE_335_length_3156_cov_1.734566	35.323944
NODE_336_length_3152_cov_13.147438	824.5556
NODE_337_length_3152_cov_1.107107	29.492807
NODE_338_length_3149_cov_2.601257	46.826263
NODE_339_length_3147_cov_1.603311	26.031124
NODE_340_length_3146_cov_1.708513	40.644108
NODE_341_length_3138_cov_1.570907	33.142994
NODE_342_length_3128_cov_3.766078	100.20232
NODE_343_length_3116_cov_2.589829	100.93112
NODE_344_length_3115_cov_1.653280	26.755903
NODE_345_length_3110_cov_2.190748	84.63419
NODE_346_length_3103_cov_4.909610	557.5042
NODE_347_length_3085_cov_2.872549	83.47279
NODE_348_length_3085_cov_2.056795	49.64496
NODE_349_length_3085_cov_1.488506	29.094252
NODE_350_length_3082_cov_0.895093	27.504652
NODE_351_length_3079_cov_1.473238	14.691153
NODE_352_length_3079_cov_1.052846	17.004719
NODE_353_length_3077_cov_1.273898	19.21509
NODE_354_length_3077_cov_1.232203	22.687696
NODE_355_length_3076_cov_6.052560	582.4297
NODE_356_length_3075_cov_1.331072	28.378063
NODE_357_length_3073_cov_1.140530	29.555576
NODE_358_length_3073_cov_1.064155	15.299358
NODE_359_length_3072_cov_2.576231	52.52171
NODE_360_length_3070_cov_1.199117	52.323887
NODE_361_length_3069_cov_1.106730	16.47985
NODE_362_length_3068_cov_2.135328	86.95375
NODE_363_length_3066_cov_5.615175	85.0356
NODE_364_length_3066_cov_2.480095	40.775265
NODE_365_length_3066_cov_1.113644	15.101951
NODE_366_length_3065_cov_1.372703	14.177223
NODE_367_length_3064_cov_1.775962	27.54999
NODE_368_length_3063_cov_2.324251	89.30505
NODE_369_length_3058_cov_0.980894	17.587387
NODE_370_length_3055_cov_0.941257	25.649166
NODE_371_length_3050_cov_1.569962	30.362347
NODE_372_length_3046_cov_10.473107	643.0069
NODE_373_length_3046_cov_2.593011	50.397522
NODE_374_length_3042_cov_1.445969	17.914063
NODE_375_length_3040_cov_1.042225	15.582599
NODE_376_length_3040_cov_0.991074	28.00181
NODE_377_length_3034_cov_1.152047	18.90045
NODE_378_length_3033_cov_1.279078	30.884827
NODE_379_length_3032_cov_3.538726	102.43517
NODE_380_length_3030_cov_1.738891	28.094229
NODE_381_length_3028_cov_1.267149	17.408752
NODE_382_length_3028_cov_0.835919	8.822003
NODE_383_length_3027_cov_1.816207	83.777885
NODE_384_length_3023_cov_1.166782	30.515707
NODE_385_length_3017_cov_1.328374	25.972227
NODE_386_length_3012_cov_3.537955	55.755604
NODE_387_length_3012_cov_3.087695	41.269794
NODE_388_length_3010_cov_1.027402	12.069674
NODE_389_length_3009_cov_0.643303	9.232817
NODE_390_length_3008_cov_5.350920	518.39374
NODE_391_length_3007_cov_1.597569	38.258762
NODE_392_length_3005_cov_0.986449	12.563865
NODE_393_length_3002_cov_1.339826	18.508692
NODE_394_length_2999_cov_1.646240	26.603168
NODE_395_length_2993_cov_1.710049	61.28615
NODE_396_length_2993_cov_1.062456	23.205435
NODE_397_length_2991_cov_4.262919	69.54378
NODE_398_length_2987_cov_1.470629	34.460728
NODE_399_length_2987_cov_0.991608	13.355022
NODE_400_length_2985_cov_1.153954	19.807314
NODE_401_length_2984_cov_0.930347	18.381618
NODE_402_length_2980_cov_1.002454	17.569641
NODE_403_length_2978_cov_1.601543	64.94369
NODE_404_length_2976_cov_3.504037	67.500656
NODE_405_length_2969_cov_0.750528	9.357206
NODE_406_length_2967_cov_2.967606	60.14258
NODE_407_length_2966_cov_2.183515	69.28935
NODE_408_length_2965_cov_1.599366	55.858604
NODE_409_length_2963_cov_1.933357	50.607193
NODE_410_length_2957_cov_2.494700	53.239353
NODE_411_length_2956_cov_1.221633	21.447535
NODE_412_length_2954_cov_1.509020	23.270657
NODE_413_length_2953_cov_1.261500	30.515388
NODE_414_length_2947_cov_1.100000	24.776247
NODE_415_length_2942_cov_2.385790	59.927246
NODE_416_length_2942_cov_1.018472	15.2542095
NODE_417_length_2937_cov_0.924911	11.763312
NODE_418_length_2933_cov_2.130078	39.952656
NODE_419_length_2933_cov_0.806486	38.37398
NODE_420_length_2928_cov_1.267762	23.234007
NODE_421_length_2928_cov_0.996073	27.734837
NODE_422_length_2926_cov_1.678814	41.874146
NODE_423_length_2925_cov_4.052180	82.07216
NODE_424_length_2925_cov_1.154753	20.822462
NODE_425_length_2923_cov_1.108011	14.378548
NODE_426_length_2919_cov_2.986032	76.50597
NODE_427_length_2919_cov_2.812321	40.02226
NODE_428_length_2919_cov_2.435172	66.866455
NODE_429_length_2918_cov_1.889645	43.209557
NODE_430_length_2915_cov_1.435796	15.517687
NODE_431_length_2915_cov_1.097202	14.540195
NODE_432_length_2912_cov_2.791023	59.81076
NODE_433_length_2906_cov_1.512415	19.36526
NODE_434_length_2906_cov_1.204390	21.816557
NODE_435_length_2905_cov_1.929086	36.65953
NODE_436_length_2902_cov_3.285045	210.73405
NODE_437_length_2902_cov_1.208649	18.164614
NODE_438_length_2901_cov_1.325162	31.676252
NODE_439_length_2900_cov_0.927876	9.948299
NODE_440_length_2897_cov_0.993502	21.884335
NODE_441_length_2896_cov_1.886602	109.58244
NODE_442_length_2894_cov_1.184315	16.984095
NODE_443_length_2892_cov_0.927667	16.133732
NODE_444_length_2890_cov_1.777778	35.37088
NODE_445_length_2890_cov_0.930148	14.419489
